,a,b,c,d,e,tess,Truth
129852,better.,cm,039310,Last,"year,",039310,038310
129863,ask,for,addltlonal,cm,staff,addltlonal,additional
129864,for,addltlonal,cm,staff,support,cm,CMA
129875,and,I,trunk,the,results,trunk,think
129880,speak,for,themselves“.,The,team,themselves“.,themselves*.
129893,out,there,1n,the,"trenches,",1n,in
129918,We,have,bull:,a,natlonal,bull:,built
129920,bull:,a,natlonal,network,that,natlonal,national
129937,own.,By,leveraglng,our,"posltlon,",leveraglng,leveraging
129939,leveraglng,our,"posltlon,",we,have,"posltlon,","position,"
129949,our,rather,llmlted,1nvestment.,The,llmlted,limited
129950,rather,llmlted,1nvestment.,The,cm,1nvestment.,investment.
129952,1nvestment.,The,cm,State,Affalrs,cm,CMA
129954,cm,State,Affalrs,effort,needs,Affalrs,Affairs
129958,needs,your,contlnued,support,next,contlnued,continued
129962,next,year,1n,four,baslc,1n,in
129964,1n,four,baslc,areas:,Malntaln,baslc,basic
129966,baslc,areas:,Malntaln,cm,staff,Malntaln,Maintain
129967,areas:,Malntaln,cm,staff,support,cm,CMA
129977,last,year.,Provlde,addltlonal,actlve,Provlde,Provide
129978,year.,Provlde,addltlonal,actlve,member,addltlonal,additional
129979,Provlde,addltlonal,actlve,member,company,actlve,active
129987,on,state,cm,task,groups,cm,CMA
129990,task,groups,establlshed,for,the,establlshed,established
129993,for,the,prlorlty,lssues.,Support,prlorlty,priority
129994,the,prlorlty,lssues.,Support,Stats,lssues.,issues.
129998,Stats,trade,assoclatlons,and,chemlcal,assoclatlons,associations
130000,assoclatlons,and,chemlcal,1ndustry,counclls,chemlcal,chemical
130001,and,chemlcal,1ndustry,counclls,Hlth,1ndustry,industry
130002,chemlcal,1ndustry,counclls,Hlth,dues,counclls,councils
130003,1ndustry,counclls,Hlth,dues,and,Hlth,with
130006,dues,and,experlenced,people.,3111,experlenced,experienced
130008,experlenced,people.,3111,wood,will,3111,Bill
130013,expand,on,thls,request,1n,thls,this
130015,thls,request,1n,ms,"presentatlon,",1n,in
130016,request,1n,ms,"presentatlon,",whlch,ms,his
130017,1n,ms,"presentatlon,",whlch,follows.,"presentatlon,","presentation,"
130018,ms,"presentatlon,",whlch,follows.,Involve,whlch,which
130021,follows.,Involve,senlor,chemlcal,1ndustry,senlor,senior
130022,Involve,senlor,chemlcal,1ndustry,executlves,chemlcal,chemical
130023,senlor,chemlcal,1ndustry,executlves,1n,1ndustry,industry
130024,chemlcal,1ndustry,executlves,1n,state,executlves,executives
130025,1ndustry,executlves,1n,state,matters,1n,in
130028,state,matters,Hlth,follow,up,Hlth,with
130031,follow,up,provlded,by,local,provlded,provided
130035,local,personnel.,mm,your,contlnued,mm,With
130037,mm,your,contlnued,support,1n,contlnued,continued
130039,contlnued,support,1n,these,"areas,",1n,in
130042,these,"areas,",cm,State,Affalrs,cm,CMA
130044,cm,State,Affalrs,Commlttee,should,Affalrs,Affairs
130059,for,our,1ndustry,at,the,1ndustry,industry
130066,am,am,039311,c,exhlblt,039311,038311
130068,039311,c,exhlblt,:1,EXECUTIVE,exhlblt,exhibit
130069,c,exhlblt,:1,EXECUTIVE,SUMMARY,:1,c
130072,EXECUTIVE,SUMMARY,sum:,CHEMICAL,ORGANIZATIONS,sum:,STATE
130078,REPORT,BACKGROUND,Durlng,the,past,Durlng,During
130086,has,been,1ncreaslng,1nterest,1n,1ncreaslng,increasing
130087,been,1ncreaslng,1nterest,1n,the,1nterest,interest
130088,1ncreaslng,1nterest,1n,the,status.,1n,in
130093,programs,and,collectlve,capabllltles,of,collectlve,collective
130094,and,collectlve,capabllltles,of,the,capabllltles,capabilities
130097,of,the,Varlous,organlzatlons,representlng,Varlous,various
130098,the,Varlous,organlzatlons,representlng,the,organlzatlons,organizations
130099,Varlous,organlzatlons,representlng,the,chemlcal,representlng,representing
130101,representlng,the,chemlcal,1ndustry,at,chemlcal,chemical
130102,the,chemlcal,1ndustry,at,the,1ndustry,industry
130108,level.,These,organlzatlons,1nclude,state,organlzatlons,organizations
130109,These,organlzatlons,1nclude,state,chemlcal,1nclude,include
130111,1nclude,state,chemlcal,"assoclatlons,",state,chemlcal,chemical
130112,state,chemlcal,"assoclatlons,",state,chemlcal,"assoclatlons,","associations,"
130114,"assoclatlons,",state,chemlcal,Industry,counclls,chemlcal,chemical
130116,chemlcal,Industry,counclls,(CICsy,and,counclls,councils
130117,Industry,counclls,(CICsy,and,chemlcal,(CICsy,(CICs)
130119,(CICsy,and,chemlcal,1ndustry,commlttees,chemlcal,chemical
130120,and,chemlcal,1ndustry,commlttees,of,1ndustry,industry
130121,chemlcal,1ndustry,commlttees,of,state,commlttees,committees
130125,state,manufacturers,assoclatlons.,In,"addltlon,",assoclatlons.,associations.
130127,assoclatlons.,In,"addltlon,",there,has,"addltlon,","addition,"
130132,also,been,1nterest,expressed,concernlng,1nterest,interest
130134,1nterest,expressed,concernlng,how,the,concernlng,concerning
130137,how,the,evolvmg,state,and,evolvmg,evolving
130144,of,CMA,51:5,Hlth,the,51:5,fits
130145,CMA,51:5,Hlth,the,exlstlng,Hlth,with
130147,Hlth,the,exlstlng,"programs,",pr10r*,exlstlng,existing
130149,exlstlng,"programs,",pr10r*,itles,and,pr10r*,prior­
130150,"programs,",pr10r*,itles,and,Capabilities,itles,ities
130152,itles,and,Capabilities,of,the,Capabilities,capabilities
130156,the,state,organlzatlons.,mnmnou,DE,organlzatlons.,organizations.
130157,state,organlzatlons.,mnmnou,DE,WORK,mnmnou,FORMATION
130160,DE,WORK,snow,To,meet,snow,GROUP
130163,To,meet,thls,"need,",an,thls,this
130178,state,and,publlc,affalrs,professlonals,publlc,public
130179,and,publlc,affalrs,professlonals,who,affalrs,affairs
130180,publlc,affalrs,professlonals,who,both,professlonals,professionals
130183,who,both,1nd1v1dually,and,through,1nd1v1dually,individually
130187,through,the,cozporatlons,they,represent,cozporatlons,corporations
130195,key,role,1n,the,development,1n,in
130199,development,and,evolutlon,of,state,evolutlon,evolution
130202,of,state,organlzatlons,around,the,organlzatlons,organizations
130206,the,country.,osmcmws,The,work,osmcmws,OBJECTIVES
130212,identified,the,followlng,objectlves,for,followlng,following
130213,the,followlng,objectlves,for,thls,objectlves,objectives
130215,objectlves,for,thls,report:,Prepare,thls,this
130219,Prepare,a,comprehenslve,status,report,comprehenslve,comprehensive
130225,the,current,"objectlves,",structure.,"flnances,","objectlves,","objectives,"
130227,"objectlves,",structure.,"flnances,","programs,",plans,"flnances,","finances,"
130234,of,the,Varlous,state,"organlzatlons,",Varlous,various
130236,Varlous,state,"organlzatlons,",Assess,the,"organlzatlons,","organizations,"
130239,Assess,the,collectlve,current,resources,collectlve,collective
130243,resources,and,Capabilities,of,the,Capabilities,capabilities
130248,19,state,organlzatlons.,.,Draw,organlzatlons.,organizations.
130252,Draw,some,concluslons,about,the,concluslons,conclusions
130256,the,overall,operatlon,of,the,operatlon,operation
130262,"groups,",identifying,partlcularly,those,elements,partlcularly,particularly
130265,those,elements,whlch,make,successful,whlch,which
130268,make,successful,cm,programs,successful,cm,CIC
130274,those,elements,whlch,inhibit,success.,whlch,which
130279,Develop,and,communlcate,recommendatlons,for,communlcate,communicate
130280,and,communlcate,recommendatlons,for,both,recommendatlons,recommendations
130283,for,both,cm,and,member,cm,CMA
130287,member,company,actlons,relatlve,to,actlons,actions
130288,company,actlons,relatlve,to,1mprov1ng,relatlve,relative
130290,relatlve,to,1mprov1ng,and,supportlng,1mprov1ng,improving
130292,1mprov1ng,and,supportlng,the,state,supportlng,supporting
130295,the,state,organlzatlons,and,thelr,organlzatlons,organizations
130297,organlzatlons,and,thelr,exlstlng,mlsslons.,thelr,their
130298,and,thelr,exlstlng,mlsslons.,The,exlstlng,existing
130299,thelr,exlstlng,mlsslons.,The,followlng,mlsslons.,missions.
130301,mlsslons.,The,followlng,were,clearly,followlng,following
130306,not,the,objectlves,of,the,objectlves,objectives
130317,of,any,1nd1v1dual,state,organlzatlon.,1nd1v1dual,individual
130319,1nd1v1dual,state,organlzatlon.,Assess,or,organlzatlon.,organization.
130336,local,level.,Th1:,could,"follow,",Th1:,This
130342,based,on,thls,group's,report,thls,this
130346,report,and,utlllzlng,a,broaderibased,utlllzlng,utilizing
130348,utlllzlng,a,broaderibased,range,of,broaderibased,broader-based
130353,Interest,and,expertlse.,cm,039312,expertlse.,expertise.
130354,and,expertlse.,cm,039312,2,cm,CMA
130355,expertlse.,cm,039312,2,PERSONAL,039312,038312
130358,2,PERSONAL,smwm,0F,sum:,smwm,SURVEY
130359,PERSONAL,smwm,0F,sum:,ORGANIZATIONS,0F,OF
130360,smwm,0F,sum:,ORGANIZATIONS,In,sum:,STATE
130367,carry,out,1::,"objectlves,",the,1::,its
130368,out,1::,"objectlves,",the,group,"objectlves,","objectives,"
130374,a,survey,whlch,sought,1nformatlon,whlch,which
130376,whlch,sought,1nformatlon,and,opinion,1nformatlon,information
130383,about,each,organlzatlon,1n,the,organlzatlon,organization
130384,each,organlzatlon,1n,the,followlng,1n,in
130386,1n,the,followlng,areas:,organlzatlon,followlng,following
130388,followlng,areas:,organlzatlon,(1nclud1ng,"structure,",organlzatlon,organization
130389,areas:,organlzatlon,(1nclud1ng,"structure,","fundlng,",(1nclud1ng,(including
130391,(1nclud1ng,"structure,","fundlng,",stafflng,and,"fundlng,","funding,"
130392,"structure,","fundlng,",stafflng,and,member,stafflng,staffing
130395,and,member,"parumpauom,",lssue,"coverage,","parumpauom,","participation),"
130396,member,"parumpauom,",lssue,"coverage,",advocacy,lssue,issue
130400,advocacy,programs,"(leglslatlve,","regulatory,",publlc/medla,"(leglslatlve,","(legislative,"
130402,"(leglslatlve,","regulatory,",publlc/medla,"communlcatlons,","educatlon,",publlc/medla,public/media
130403,"regulatory,",publlc/medla,"communlcatlons,","educatlon,","grassroots,","communlcatlons,","communications,"
130404,publlc/medla,"communlcatlons,","educatlon,","grassroots,","stay,","educatlon,","education,"
130406,"educatlon,","grassroots,","stay,",commui,nlcatlons,"stay,","etc),"
130407,"grassroots,","stay,",commui,nlcatlons,and,commui,commu­
130408,"stay,",commui,nlcatlons,and,lmage?aulldlng,nlcatlons,nications
130410,nlcatlons,and,lmage?aulldlng,"actlvltles,",and,lmage?aulldlng,image-building
130411,and,lmage?aulldlng,"actlvltles,",and,future,"actlvltles,","activities,"
130420,group,personally,1ntervlewed,a,range,1ntervlewed,interviewed
130424,range,of,1nd1v1duals,1n,each,1nd1v1duals,individuals
130425,of,1nd1v1duals,1n,each,state,1n,in
130430,to,seek,thelr,"input,",and,thelr,their
130433,"input,",and,thls,materlal,was,thls,this
130434,and,thls,materlal,was,then,materlal,material
130437,was,then,complled,and,analyzed,complled,compiled
130444,work,group.,Summarles,of,the,Summarles,Summaries
130450,surveys,are,contalned,1n,the,contalned,contained
130451,are,contalned,1n,the,full,1n,in
130458,are,presented,1n,chart,form,1n,in
130461,chart,form,followlng,thls,Executlve,followlng,following
130462,form,followlng,thls,Executlve,Summary.,thls,this
130463,followlng,thls,Executlve,Summary.,CONCLUSION,Executlve,Executive
130466,Summary.,CONCLUSION,mom,smwm,Drganlzatlonal,mom,FROM
130467,CONCLUSION,mom,smwm,Drganlzatlonal,Classlflcatlon.,smwm,SURVEY
130468,mom,smwm,Drganlzatlonal,Classlflcatlon.,The,Drganlzatlonal,Organizational
130469,smwm,Drganlzatlonal,Classlflcatlon.,The,19,Classlflcatlon.,Classification.
130473,19,state,organlzatlons,may,be,organlzatlons,organizations
130476,may,be,classlfled,1nto,four,classlfled,classified
130477,be,classlfled,1nto,four,organlzatlonal,1nto,into
130479,1nto,four,organlzatlonal,categorles:,Needs,organlzatlonal,organizational
130480,four,organlzatlonal,categorles:,Needs,for,categorles:,categories:
130487,states,of,prlmary,"1mportance,",the,prlmary,primary
130488,of,prlmary,"1mportance,",the,chemlcal,"1mportance,","importance,"
130490,"1mportance,",the,chemlcal,1ndustry,needs,chemlcal,chemical
130491,the,chemlcal,1ndustry,needs,to,1ndustry,industry
130500,strong,CICs,(elther,1ndependent,or,(elther,(either
130501,CICs,(elther,1ndependent,or,afflllated,1ndependent,independent
130503,1ndependent,or,afflllated,mm,other,afflllated,affiliated
130504,or,afflllated,mm,other,state,mm,with
130507,other,state,busmess,assomamonsy,mm,busmess,business
130508,state,busmess,assomamonsy,mm,multlple,assomamonsy,associations)
130509,busmess,assomamonsy,mm,multlple,Capabilities,mm,with
130510,assomamonsy,mm,multlple,Capabilities,to,multlple,multiple
130511,mm,multlple,Capabilities,to,achleve,Capabilities,capabilities
130513,Capabilities,to,achleve,not,only,achleve,achieve
130517,only,the,prlmary,goal,1n,prlmary,primary
130519,prlmary,goal,1n,each,state,1n,in
130522,each,state,whlch,15,mlnlmlzlng,whlch,which
130524,whlch,15,mlnlmlzlng,1napproprlate,"leglslatlon,",mlnlmlzlng,minimizing
130525,15,mlnlmlzlng,1napproprlate,"leglslatlon,",but,1napproprlate,inappropriate
130526,mlnlmlzlng,1napproprlate,"leglslatlon,",but,also,"leglslatlon,","legislation,"
130530,also,the,natlonal,goals,of,natlonal,national
130534,of,the,chemlcal,1ndustry,as,chemlcal,chemical
130535,the,chemlcal,1ndustry,as,well,1ndustry,industry
130538,as,well,whlch,1nclude:,"Independent,",whlch,which
130539,well,whlch,1nclude:,"Independent,",Hlth,1nclude:,include:
130541,1nclude:,"Independent,",Hlth,an,all,Hlth,with
130544,an,all,Volunteer,effort.,(Alabama,Volunteer,volunteer
130548,(Alabama,and,Delaware7,"Independent,",largely,Delaware7,Delaware)
130551,"Independent,",largely,"Volunteer,",but,Hlth,"Volunteer,","volunteer,"
130553,"Volunteer,",but,Hlth,a,parpmme,Hlth,with
130555,Hlth,a,parpmme,"staff,",consultant,parpmme,part-time
130559,consultant,and/or,lobbylst.,"(Pennsylvanla,","Florlda,",lobbylst.,lobbyist.
130560,and/or,lobbylst.,"(Pennsylvanla,","Florlda,","Michigani,","(Pennsylvanla,","(Pennsylvania,"
130561,lobbylst.,"(Pennsylvanla,","Florlda,","Michigani,",Illlnols.,"Florlda,","Florida,"
130562,"(Pennsylvanla,","Florlda,","Michigani,",Illlnols.,Mlssourl7,"Michigani,","Michigan-,"
130563,"Florlda,","Michigani,",Illlnols.,Mlssourl7,Afflllated,Illlnols.,"Illinois,"
130564,"Michigani,",Illlnols.,Mlssourl7,Afflllated,Hlth,Mlssourl7,Missouri)
130565,Illlnols.,Mlssourl7,Afflllated,Hlth,state,Afflllated,Affiliated
130566,Mlssourl7,Afflllated,Hlth,state,trade,Hlth,with
130569,state,trade,"assoclatlcn,",utlllzlng,prlnclpally,"assoclatlcn,","association,"
130570,trade,"assoclatlcn,",utlllzlng,prlnclpally,trade,utlllzlng,utilizing
130571,"assoclatlcn,",utlllzlng,prlnclpally,trade,assoclatlon,prlnclpally,principally
130573,prlnclpally,trade,assoclatlon,"staff,",but,assoclatlon,association
130579,have,own,parnume,"staff,",consultant.,parnume,part-time
130583,consultant.,or,lobbylst.,(New,"York,",lobbylst.,lobbyist.
130586,(New,"York,",Connectlcut.,ohm.,"Tennessee,",Connectlcut.,"Connecticut,"
130587,"York,",Connectlcut.,ohm.,"Tennessee,","Kentucky,",ohm.,"Ohio,"
130594,Massachusetts),Independent,mm,one,or,mm,with
130598,or,more,fullitlme,staff,"members,",fullitlme,full-time
130602,"members,",together,Hlth,a,multkcommttee,Hlth,with
130604,Hlth,a,multkcommttee,structure,responslble,multkcommttee,multi-committee
130606,multkcommttee,structure,responslble,for,1nd1v1dual,responslble,responsible
130608,responslble,for,1nd1v1dual,programs.,"(Texas,",1nd1v1dual,individual
130614,New,"Jersey,",Callfornlay.,Unlfomlty,1n,Callfornlay.,California).
130615,"Jersey,",Callfornlay.,Unlfomlty,1n,state,Unlfomlty,Uniformity
130616,Callfornlay.,Unlfomlty,1n,state,leglslatlon/regulatlon,1n,in
130618,1n,state,leglslatlon/regulatlon,Avoldance,of,leglslatlon/regulatlon,legislation/regulation
130619,state,leglslatlon/regulatlon,Avoldance,of,bad,Avoldance,Avoidance
130625,for,Federal,leglslatlon,Support,for,leglslatlon,legislation
130633,Support,for,Reglonal,Communlcatlons,efforts,Reglonal,Regional
130634,for,Reglonal,Communlcatlons,efforts,on,Communlcatlons,Communications
130637,efforts,on,natlonal,lssues,Support,natlonal,national
130638,on,natlonal,lssues,Support,for,lssues,issues
130646,any,other,1ndustry,initiatives,whlch,1ndustry,industry
130648,1ndustry,initiatives,whlch,requlre,local,whlch,which
130649,initiatives,whlch,requlre,local,luvplementatlon,requlre,require
130651,requlre,local,luvplementatlon,or,support,luvplementatlon,implementation
130656,Programs,and,Capabllltles.,"Collectlvely,",the,Capabllltles.,Capabilities.
130657,and,Capabllltles.,"Collectlvely,",the,19,"Collectlvely,","Collectively,"
130669,programs,and,capabllltles.,mule,a,capabllltles.,capabilities.
130670,and,capabllltles.,mule,a,few,mule,While
130677,deemed,fully,functlonal,organlzatlons,mm,functlonal,functional
130678,fully,functlonal,organlzatlons,mm,multlfaceted,organlzatlons,organizations
130679,functlonal,organlzatlons,mm,multlfaceted,"programs,",mm,with
130680,organlzatlons,mm,multlfaceted,"programs,",many,multlfaceted,multifaceted
130684,many,are,5:111,seeklng,thelr,5:111,still
130685,are,5:111,seeklng,thelr,1dent1ty,seeklng,seeking
130686,5:111,seeklng,thelr,1dent1ty,or,thelr,their
130687,seeklng,thelr,1dent1ty,or,are,1dent1ty,identity
130690,or,are,otherwlse,1n,3,otherwlse,otherwise
130691,are,otherwlse,1n,3,state,1n,in
130695,state,of,transltlon,or,growth.,transltlon,transition
130701,15,also,unportant,m,polnt,unportant,important
130703,unportant,m,polnt,out,that,polnt,point
130707,that,many,5:111,see,thelr,5:111,still
130709,5:111,see,thelr,role,restrlcted,thelr,their
130711,thelr,role,restrlcted,almost,entlrely,restrlcted,restricted
130713,restrlcted,almost,entlrely,m,threat,entlrely,entirely
130716,m,threat,leglslatlve,and,regulatory,leglslatlve,legislative
130725,been,made,1n,the,last,1n,in
130728,the,last,Elva,"years,",and,Elva,five
130734,will,follow,mm,the,proper,mm,with
130737,the,proper,"leadershlp,",member,company,"leadershlp,","leadership,"
130740,member,company,comltment,and,the,comltment,commitment
130743,and,the,allocatlon,of,sufflclent,allocatlon,allocation
130745,allocatlon,of,sufflclent,resources.,cm,sufflclent,sufficient
130747,sufflclent,resources.,cm,039313,3,cm,CMA
130748,resources.,cm,039313,3,Budget,039313,038313
130752,Budget,and,Flnances.,The,budgets,Flnances.,Finances.
130760,of,the,Varlous,state,organlzatlons,Varlous,various
130762,Varlous,state,organlzatlons,Varles,enormously,organlzatlons,organizations
130763,state,organlzatlons,Varles,enormously,from,Varles,varies
130766,enormously,from,"state*toistate,",Hlth,the,"state*toistate,","state-to-state,"
130767,from,"state*toistate,",Hlth,the,budget,Hlth,with
